date,volume_usd,revenue_observed_usd,revenue_estimated_usd,revenue_blended_usd,revenue_100_usd,revenue_50_usd
2023-02-26,933785.0,,249.3578694298208,249.3578694298208,249.3578694298208,124.6789347149104
2023-02-27,3707117.0,,989.9482181091674,989.9482181091674,989.9482181091674,494.9741090545837
2023-02-28,3725949.0,,994.9771138368803,994.9771138368803,994.9771138368803,497.48855691844017
2023-03-01,3994405.0,,1066.6655819485463,1066.6655819485463,1066.6655819485463,533.3327909742732
2023-03-02,3750799.0,,1001.6130557885406,1001.6130557885406,1001.6130557885406,500.8065278942703
2023-03-03,3408983.0,,910.3345393238045,910.3345393238045,910.3345393238045,455.16726966190225
2023-03-04,3008999.0,,803.5228449337495,803.5228449337495,803.5228449337495,401.76142246687476
2023-03-05,6065521.0,,1619.7362278702656,1619.7362278702656,1619.7362278702656,809.8681139351328
2023-03-06,16965046.0,,4530.344485442477,4530.344485442477,4530.344485442477,2265.1722427212385
2023-03-07,19553976.0,,5221.692139241741,5221.692139241741,5221.692139241741,2610.8460696208704
2023-03-08,24263150.0,,6479.2295760331945,6479.2295760331945,6479.2295760331945,3239.6147880165972
2023-03-09,33434864.0,,8928.443326585686,8928.443326585686,8928.443326585686,4464.221663292843
2023-03-10,49735928.0,,13281.478113478977,13281.478113478977,13281.478113478977,6640.739056739489
2023-03-11,38088738.0,,10171.213455935416,10171.213455935416,10171.213455935416,5085.606727967708
2023-03-12,37089366.0,,9904.341239431811,9904.341239431811,9904.341239431811,4952.170619715906
2023-03-13,69257959.0,,18494.639662553887,18494.639662553887,18494.639662553887,9247.319831276944
2023-03-14,76589851.0,,20452.54749787952,20452.54749787952,20452.54749787952,10226.27374893976
2023-03-15,78316645.0,,20913.67042530307,20913.67042530307,20913.67042530307,10456.835212651535
2023-03-16,65930111.0,,17605.971406942273,17605.971406942273,17605.971406942273,8802.985703471137
2023-03-17,71527554.0,,19100.712124275346,19100.712124275346,19100.712124275346,9550.356062137673
2023-03-18,66357230.0,,17720.02922949564,17720.02922949564,17720.02922949564,8860.01461474782
2023-03-19,63589768.0,,16981.00640513244,16981.00640513244,16981.00640513244,8490.50320256622
2023-03-20,79368277.0,,21194.49814789898,21194.49814789898,21194.49814789898,10597.24907394949
2023-03-21,73615170.0,,19658.188928837,19658.188928837,19658.188928837,9829.0944644185
2023-03-22,60194284.0,,16074.276637655938,16074.276637655938,16074.276637655938,8037.138318827969
2023-03-23,51352938.0,,13713.28433059182,13713.28433059182,13713.28433059182,6856.64216529591
2023-03-24,55064429.0,,14704.400581300446,14704.400581300446,14704.400581300446,7352.200290650223
2023-03-25,33809736.0,,9028.549114565678,9028.549114565678,9028.549114565678,4514.274557282839
2023-03-26,31567371.0,,8429.748149799698,8429.748149799698,8429.748149799698,4214.874074899849
2023-03-27,36369911.0,,9712.218035535163,9712.218035535163,9712.218035535163,4856.1090177675815
2023-03-28,40991824.0,,10946.45330207938,10946.45330207938,10946.45330207938,5473.22665103969
2023-03-29,36304141.0,,9694.654820156464,9694.654820156464,9694.654820156464,4847.327410078232
2023-03-30,44688075.0,,11933.499864444211,11933.499864444211,11933.499864444211,5966.749932222106
2023-03-31,42192915.0,,11267.192543715659,11267.192543715659,11267.192543715659,5633.596271857829
2023-04-01,25593770.0,,6834.558231152636,6834.558231152636,6834.558231152636,3417.279115576318
2023-04-02,32241625.0,,8609.800882382182,8609.800882382182,8609.800882382182,4304.900441191091
2023-04-03,52008103.0,,13888.239538187774,13888.239538187774,13888.239538187774,6944.119769093887
2023-04-04,48049863.0,,12831.231454858213,12831.231454858213,12831.231454858213,6415.615727429106
2023-04-05,44664434.0,,11927.186773752896,11927.186773752896,11927.186773752896,5963.593386876448
2023-04-06,36661146.0,,9789.989405929198,9789.989405929198,9789.989405929198,4894.994702964599
2023-04-07,28418363.0,,7588.8373130466325,7588.8373130466325,7588.8373130466325,3794.4186565233163
2023-04-08,15019512.0,,4010.8092464492643,4010.8092464492643,4010.8092464492643,2005.4046232246321
2023-04-09,23838132.0,,6365.732804346646,6365.732804346646,6365.732804346646,3182.866402173323
2023-04-10,32060363.0,,8561.396692843275,8561.396692843275,8561.396692843275,4280.698346421637
2023-04-11,44781404.0,,11958.422432911275,11958.422432911275,11958.422432911275,5979.211216455637
2023-04-12,107030839.0,,28581.506424204897,28581.506424204897,28581.506424204897,14290.753212102449
2023-04-13,67612894.0,,18055.341640553568,18055.341640553568,18055.341640553568,9027.670820276784
2023-04-14,137227474.0,,36645.21334555184,36645.21334555184,36645.21334555184,18322.60667277592
2023-04-15,60420521.0,,16134.69094748764,16134.69094748764,16134.69094748764,8067.34547374382
2023-04-16,59162365.0,,15798.713072955123,15798.713072955123,15798.713072955123,7899.356536477561
2023-04-17,79179116.0,,21143.98461005117,21143.98461005117,21143.98461005117,10571.992305025586
2023-04-18,48911977.0,,13061.450306355742,13061.450306355742,13061.450306355742,6530.725153177871
2023-04-19,71412159.0,,19069.897052987144,19069.897052987144,19069.897052987144,9534.948526493572
2023-04-20,82987553.0,,22160.98931260872,22160.98931260872,22160.98931260872,11080.49465630436
2023-04-21,67808466.0,,18107.567171312927,18107.567171312927,18107.567171312927,9053.783585656463
2023-04-22,37339164.0,,9971.047276761423,9971.047276761423,9971.047276761423,4985.523638380711
2023-04-23,42435511.0,,11331.975359558917,11331.975359558917,11331.975359558917,5665.987679779459
2023-04-24,58770585.0,,15694.092174048827,15694.092174048827,15694.092174048827,7847.046087024413
2023-04-25,61615875.0,,16453.89818111681,16453.89818111681,16453.89818111681,8226.949090558404
2023-04-26,81418919.0,,21742.101418548333,21742.101418548333,21742.101418548333,10871.050709274166
2023-04-27,77778415.0,,20769.94153046838,20769.94153046838,20769.94153046838,10384.97076523419
2023-04-28,52167961.0,,13930.928005330974,13930.928005330974,13930.928005330974,6965.464002665487
2023-04-29,29218960.0,,7802.628669934896,7802.628669934896,7802.628669934896,3901.314334967448
2023-04-30,40284520.0,,10757.574900221147,10757.574900221147,10757.574900221147,5378.787450110573
2023-05-01,46036487.0,,12293.579693777092,12293.579693777092,12293.579693777092,6146.789846888546
2023-05-02,38735244.0,,10343.856364885118,10343.856364885118,10343.856364885118,5171.928182442559
2023-05-03,57234746.0,,15283.96185408521,15283.96185408521,15283.96185408521,7641.980927042605
2023-05-04,47385932.0,,12653.935375344823,12653.935375344823,12653.935375344823,6326.967687672412
2023-05-05,101533494.0,,27113.49586854093,27113.49586854093,27113.49586854093,13556.747934270465
2023-05-06,96072017.0,,25655.06350064043,25655.06350064043,25655.06350064043,12827.531750320215
2023-05-07,101071648.0,,26990.164550770045,26990.164550770045,26990.164550770045,13495.082275385023
2023-05-08,140129570.0,,37420.188822177406,37420.188822177406,37420.188822177406,18710.094411088703
2023-05-09,111689670.0,,29825.60027042603,29825.60027042603,29825.60027042603,14912.800135213016
2023-05-10,162421897.0,,43373.129986741915,43373.129986741915,43373.129986741915,21686.564993370957
2023-05-11,174601497.0,,46625.5693667999,46625.5693667999,46625.5693667999,23312.78468339995
2023-05-12,261364317.0,,69794.7056679003,69794.7056679003,69794.7056679003,34897.35283395015
2023-05-13,121840973.0,,32536.403386792805,32536.403386792805,32536.403386792805,16268.201693396402
2023-05-14,87994874.0,,23498.143899704464,23498.143899704464,23498.143899704464,11749.071949852232
2023-05-15,151995243.0,,40588.79716203182,40588.79716203182,40588.79716203182,20294.39858101591
2023-05-16,213273581.0,,56952.55949049118,56952.55949049118,56952.55949049118,28476.27974524559
2023-05-17,263310272.0,,70314.35333069881,70314.35333069881,70314.35333069881,35157.176665349405
2023-05-18,266227996.0,,71093.5021071562,71093.5021071562,71093.5021071562,35546.7510535781
2023-05-19,209821683.0,,56030.76493310478,56030.76493310478,56030.76493310478,28015.38246655239
2023-05-20,149043321.0,,39800.51615447332,39800.51615447332,39800.51615447332,19900.25807723666
2023-05-21,174894921.0,,46703.925287573504,46703.925287573504,46703.925287573504,23351.962643786752
2023-05-22,203823057.0,,54428.892340520484,54428.892340520484,54428.892340520484,27214.446170260242
2023-05-23,239311403.0,,63905.697331121424,63905.697331121424,63905.697331121424,31952.848665560712
2023-05-24,469012694.0,,125245.1111459067,125245.1111459067,125245.1111459067,62622.55557295335
2023-05-25,653150383.0,,174417.22443833583,174417.22443833583,174417.22443833583,87208.61221916792
2023-05-26,634457776.0,,169425.55220585305,169425.55220585305,169425.55220585305,84712.77610292652
2023-05-27,630675686.0,,168415.58320400375,168415.58320400375,168415.58320400375,84207.79160200187
2023-05-28,1049910995.0,,280368.1455625687,280368.1455625687,280368.1455625687,140184.07278128434
2023-05-29,1648246186.0,,440147.52564753994,440147.52564753994,440147.52564753994,220073.76282376997
2023-05-30,784373270.0,,209458.97336635474,209458.97336635474,209458.97336635474,104729.48668317737
2023-05-31,690443456.0,,184375.96357825646,184375.96357825646,184375.96357825646,92187.98178912823
2023-06-01,689216992.0,,184048.44873279164,184048.44873279164,184048.44873279164,92024.22436639582
2023-06-02,835218505.0,,223036.68072967557,223036.68072967557,223036.68072967557,111518.34036483779
2023-06-03,358656867.0,,95775.70020025445,95775.70020025445,95775.70020025445,47887.85010012722
2023-06-04,434495934.0,,116027.75840065972,116027.75840065972,116027.75840065972,58013.87920032986
2023-06-05,1129335074.0,,301577.545071948,301577.545071948,301577.545071948,150788.772535974
2023-06-06,1731034066.0,,462255.19429868733,462255.19429868733,462255.19429868733,231127.59714934367
2023-06-07,1220231224.0,,325850.44547554565,325850.44547554565,325850.44547554565,162925.22273777283
2023-06-08,1747160768.0,,466561.667471473,466561.667471473,466561.667471473,233280.8337357365
2023-06-09,1921328869.0,,513071.50280615693,513071.50280615693,513071.50280615693,256535.75140307847
2023-06-10,3611610615.0,,964444.2009311831,964444.2009311831,964444.2009311831,482222.10046559153
2023-06-11,2033231147.0,,542953.8778993781,542953.8778993781,542953.8778993781,271476.93894968904
2023-06-12,2390029917.0,,638233.392029912,638233.392029912,638233.392029912,319116.696014956
2023-06-13,522413706.0,,139505.31298863955,139505.31298863955,139505.31298863955,69752.65649431977
2023-06-14,67594710.0,,18050.48578669244,18050.48578669244,18050.48578669244,9025.24289334622
2023-06-15,97948023.0,,26156.031988244707,26156.031988244707,26156.031988244707,13078.015994122354
2023-06-16,16879156.0,,4507.408426922231,4507.408426922231,4507.408426922231,2253.7042134611156
2023-06-17,9934203.0,,2652.8287502619273,2652.8287502619273,2652.8287502619273,1326.4143751309637
2023-06-18,9468632.0,,2528.5027087980884,2528.5027087980884,2528.5027087980884,1264.2513543990442
2023-06-19,17678048.0,,4720.744480751034,4720.744480751034,4720.744480751034,2360.372240375517
2023-06-20,29048340.0,,7757.066319198788,7757.066319198788,7757.066319198788,3878.533159599394
2023-06-21,62931085.0,,16805.11175110647,16805.11175110647,16805.11175110647,8402.555875553235
